1 0.757 "M" "A"
1 0.706 "M" "A"
1 0.574 "M" "A"
1 0.579 "M" "A"
1 0.72 "M" "A"
1 0.708 "M" "A"
1 0.728 "M" "A"
1 0.581 "M" "A"
1 0.602 "M" "A"
1 0.654 "M" "A"
1 0.491 "M" "A"
1 0.647 "M" "A"
1 0.563 "M" "A"
1 0.68 "M" "A"
1 0.797 "M" "A"
1 0.697 "M" "A"
1 0.726 "M" "A"
1 0.651 "M" "A"
0 0.687 "M" "A"
1 0.693 "M" "A"
1 0.737 "M" "A"
1 0.693 "M" "A"
1 0.562 "M" "A"
1 0.917 "H" "A"
1 0.594 "H" "A"
1 0.51 "H" "A"
1 0.627 "H" "A"
1 0.664 "H" "A"
1 0.604 "H" "A"
1 0.789 "H" "A"
1 0.658 "H" "A"
0 0.838 "H" "A"
1 0.947 "H" "A"
1 0.92 "H" "A"
1 0.612 "H" "A"
1 0.769 "H" "A"
1 0.717 "H" "A"
1 0.714 "H" "A"
1 0.63 "H" "A"
1 0.834 "H" "A"
1 0.823 "H" "A"
1 0.955 "H" "A"
1 0.888 "H" "A"
1 0.844 "H" "A"
1 0.68 "H" "A"
1 0.797 "H" "A"
1 0.745 "H" "A"
1 0.573 "L" "A"
1 0.513 "L" "A"
1 0.558 "L" "A"
1 0.738 "L" "A"
1 0.503 "L" "A"
1 0.491 "L" "A"
1 0.719 "L" "A"
1 0.516 "L" "A"
1 0.512 "L" "A"
1 0.556 "L" "A"
1 0.577 "L" "A"
1 0.43 "L" "A"
1 0.49 "L" "A"
1 0.487 "L" "A"
1 0.571 "L" "A"
1 0.576 "L" "A"
1 0.42 "L" "A"
1 0.48 "L" "A"
1 0.413 "L" "A"
1 0.521 "L" "A"
1 0.597 "L" "A"
1 0.498 "L" "A"
1 0.447 "L" "A"
1 0.467 "L" "A"
1 0.463 "L" "A"
1 0.753 "M" "A"
1 0.614 "M" "A"
1 0.61 "M" "A"
1 0.647 "M" "A"
1 0.62 "M" "A"
1 0.488 "M" "A"
1 0.492 "M" "A"
1 0.457 "M" "A"
1 0.494 "M" "A"
1 0.642 "M" "A"
1 0.623 "M" "A"
1 0.58 "M" "A"
1 0.488 "M" "A"
1 0.611 "M" "A"
1 0.56 "M" "A"
1 0.965 "M" "A"
1 0.513 "M" "A"
1 0.622 "M" "A"
1 0.515 "M" "A"
1 0.535 "M" "A"
1 0.507 "M" "A"
1 0.536 "M" "A"
1 0.541 "M" "A"
1 0.601 "M" "A"
1 0.725 "M" "A"
1 0.535 "L" "A"
1 0.547 "L" "A"
1 0.591 "L" "A"
1 0.516 "L" "A"
1 0.56 "L" "A"
1 0.781 "L" "A"
