"rt" "key_press" "correct_response" "correct" "condition" "stim_color" "stim_word" "session" "subj" "stim" "rtoutlier"
1148 71 71 "TRUE" "incongruent" "green" "red" "1" 10 "S" NA
1244 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
710 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
495 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
1046 66 66 "TRUE" "incongruent" "blue" "red" "1" 10 "S" NA
953 71 71 "TRUE" "congruent" "green" "green" "1" 10 "S" NA
957 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
955 82 82 "TRUE" "incongruent" "red" "green" "1" 10 "S" NA
833 71 71 "TRUE" "incongruent" "green" "blue" "1" 10 "S" NA
823 66 66 "TRUE" "incongruent" "blue" "green" "1" 10 "S" NA
431 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
630 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
833 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
785 82 82 "TRUE" "incongruent" "red" "green" "2" 10 "A" NA
698 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
602 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
609 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
759 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
668 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
914 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
584 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
552 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
948 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
728 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
844 66 66 "TRUE" "congruent" "blue" "blue" "2" 10 "A" NA
611 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
907 82 82 "TRUE" "incongruent" "red" "blue" "2" 10 "A" NA
746 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
693 71 71 "TRUE" "incongruent" "green" "red" "2" 10 "A" NA
907 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
817 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
783 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
587 71 71 "TRUE" "incongruent" "green" "blue" "2" 10 "A" NA
842 71 71 "TRUE" "congruent" "green" "green" "2" 10 "A" NA
767 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
419 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
937 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
798 66 66 "TRUE" "incongruent" "blue" "red" "2" 10 "A" NA
669 66 66 "TRUE" "incongruent" "blue" "green" "2" 10 "A" NA
555 82 82 "TRUE" "congruent" "red" "red" "2" 10 "A" NA
